name,scientific name,last observation,total observations
Spot-billed Pelican,Pelecanus philippensis,"December 6, 2024","2,289"
Dalmatian Pelican,Pelecanus crispus,"December 1, 2024","2,813"
Great White Pelican,Pelecanus onocrotalus,"December 6, 2024","4,589"
Red-naped Ibis,Pseudibis papillosa,"December 3, 2024","1,491"
Glossy Ibis,Plegadis falcinellus,"December 7, 2024","21,829"
Black-headed Ibis,Threskiornis melanocephalus,"December 5, 2024","2,948"
Eurasian Spoonbill,Platalea leucorodia,No Observations,"12,769"
Black-bellied Storm-Petrel,Fregetta tropica,No Observations,0
White-faced Storm-Petrel,Pelagodroma marina,No Observations,0
Wilson's Storm-Petrel,Oceanites oceanicus,"December 6, 2024",0
Swinhoe's Storm-Petrel,Hydrobates monorhis,No Observations,90
Wedge-tailed Shearwater,Ardenna pacifica,No Observations,0
Flesh-footed Shearwater,Ardenna carneipes,No Observations,618
Streaked Shearwater,Calonectris leucomelas,No Observations,0
Bulwer's Petrel,Bulweria bulwerii,"October 20, 2024",284
Jouanin's Petrel,Bulweria fallax,No Observations,0
Christmas Shearwater,Puffinus nativitatis,"November 7, 2024",39
Barau's Petrel,Pterodroma baraui,"November 15, 2024",55
Little Grebe,Tachybaptus ruficollis,"December 7, 2024","31,759"
Red-necked Grebe,Podiceps grisegena,"December 6, 2024","12,685"
Horned Grebe,Podiceps auritus,"December 7, 2024","21,425"
Great Crested Grebe,Podiceps cristatus,"December 7, 2024","59,433"
Eared Grebe,Podiceps nigricollis,"December 7, 2024","25,331"
Arctic Loon,Gavia arctica,No Observations,"3,724"
Pomarine Jaeger,Stercorarius pomarinus,"December 6, 2024","2,333"
Parasitic Jaeger,Stercorarius parasiticus,No Observations,0
Brown Skua,Stercorarius antarcticus,No Observations,0
South Polar Skua,Stercorarius maccormicki,No Observations,"1,003"
Pied Avocet,Recurvirostra avosetta,"December 6, 2024","14,374"
Black-winged Stilt,Himantopus himantopus,"December 7, 2024",0
Ibisbill,Ibidorhyncha struthersii,"November 19, 2024",203
Eurasian Oystercatcher,Haematopus ostralegus,"December 6, 2024","24,451"
Crab-Plover,Dromas ardeola,"December 7, 2024",409
Indian Stone-Curlew,Burhinus indicus,No Observations,0
Great Stone-Curlew,Esacus recurvirostris,"December 2, 2024",0
Beach Stone-Curlew,Esacus magnirostris,"December 7, 2024","1,156"
Long-billed Plover,Thinornis placidus,"December 7, 2024",801
Little Ringed Plover,Thinornis dubius,"December 7, 2024","19,046"
Black-fronted Dotterel,Thinornis melanops,"December 6, 2024","3,452"
Tibetan Sand Plover,Anarhynchus atrifrons,"December 7, 2024","2,395"
Greater Sand Plover,Anarhynchus leschenaultii,"December 3, 2024","2,331"
Oriental Plover,Anarhynchus veredus,No Observations,155
Kentish Plover,Anarhynchus alexandrinus,"December 7, 2024","8,879"
Pacific Golden Plover,Pluvialis fulva,"December 7, 2024","10,433"
Black-bellied Plover,Pluvialis squatarola,"December 7, 2024",0
European Golden Plover,Pluvialis apricaria,"December 6, 2024","5,174"
Grey-headed Lapwing,Vanellus cinereus,"December 1, 2024","1,290"
Red-wattled Lapwing,Vanellus indicus,"December 7, 2024","8,290"
White-tailed Lapwing,Vanellus leucurus,"November 25, 2024",504
Sociable Lapwing,Vanellus gregarius,No Observations,0
Northern Lapwing,Vanellus vanellus,"December 7, 2024","34,499"
River Lapwing,Vanellus duvaucelii,"December 1, 2024",499
Yellow-wattled Lapwing,Vanellus malabaricus,"December 5, 2024","1,105"
Common Ringed Plover,Charadrius hiaticula,"December 6, 2024","14,950"
Jerdon's Courser,Rhinoptilus bitorquatus,No Observations,0
Collared Pratincole,Glareola pratincola,"December 3, 2024","2,089"
Small Pratincole,Glareola lactea,No Observations,0
Oriental Pratincole,Glareola maldivarum,"December 6, 2024",0
Indian Courser,Cursorius coromandelicus,No Observations,0
Cream-coloured Courser,Cursorius cursor,No Observations,0
Pheasant-tailed Jacana,Hydrophasianus chirurgus,"December 7, 2024",0
Bronze-winged Jacana,Metopidius indicus,No Observations,0
Indian Skimmer,Rynchops albicollis,"November 22, 2024",169
Caspian Gull,Larus cachinnans,No Observations,0
Pallas's Gull,Ichthyaetus ichthyaetus,"December 1, 2024",0
Sooty Gull,Ichthyaetus hemprichii,"November 20, 2024",526
Little Gull,Hydrocoloeus minutus,"December 6, 2024",0
Brown-headed Gull,Chroicocephalus brunnicephalus,"December 7, 2024","1,760"
Black-headed Gull,Chroicocephalus ridibundus,No Observations,0
Slender-billed Gull,Chroicocephalus genei,No Observations,"3,340"
Whiskered Tern,Chlidonias hybrida,"December 7, 2024","9,418"
White-winged Tern,Chlidonias leucopterus,No Observations,0
Black Tern,Chlidonias niger,No Observations,"11,230"
White-cheeked Tern,Sterna repressa,No Observations,238
Black-bellied Tern,Sterna acuticauda,"December 6, 2024",71
Black-naped Tern,Sterna sumatrana,No Observations,0
Common Tern,Sterna hirundo,"December 7, 2024","37,199"
Arctic Tern,Sterna paradisaea,"November 14, 2024","6,420"
Roseate Tern,Sterna dougallii,"November 21, 2024","1,324"
River Tern,Sterna aurantia,No Observations,997
Lesser Crested Tern,Thalasseus bengalensis,No Observations,"1,396"
Sandwich Tern,Thalasseus sandvicensis,"December 6, 2024","15,576"
Great Crested Tern,Thalasseus bergii,"December 7, 2024",0
Caspian Tern,Hydroprogne caspia,"December 7, 2024","30,282"
Gull-billed Tern,Gelochelidon nilotica,"December 3, 2024","5,902"
Saunders's Tern,Sternula saundersi,"October 18, 2024",77
Little Tern,Sternula albifrons,No Observations,"6,058"
Bridled Tern,Onychoprion anaethetus,No Observations,"1,723"
Sooty Tern,Onychoprion fuscatus,"December 6, 2024","1,756"
Lesser Noddy,Anous tenuirostris,No Observations,172
Brown Noddy,Anous stolidus,"December 4, 2024","3,059"
Greater Painted-Snipe,Rostratula benghalensis,No Observations,0
Terek Sandpiper,Xenus cinereus,"December 7, 2024","3,461"
Red-necked Phalarope,Phalaropus lobatus,No Observations,0
Bar-tailed Godwit,Limosa lapponica,No Observations,0
Black-tailed Godwit,Limosa limosa,"December 6, 2024","16,342"
Ruddy Turnstone,Arenaria interpres,No Observations,"43,928"
Eurasian Woodcock,Scolopax rusticola,"December 6, 2024","3,285"
Solitary Snipe,Gallinago solitaria,"October 13, 2024",0
Pin-tailed Snipe,Gallinago stenura,No Observations,479
Swinhoe's Snipe,Gallinago megala,No Observations,284
Great Snipe,Gallinago media,No Observations,0
Wood Snipe,Gallinago nemoricola,"April 24, 2024",5
Jack Snipe,Lymnocryptes minimus,"December 3, 2024",816
Whimbrel,Numenius phaeopus,"December 7, 2024","34,046"
Eurasian Curlew,Numenius arquata,"December 6, 2024","15,080"
Nordmann's Greenshank,Tringa guttifer,"December 1, 2024",244
Wood Sandpiper,Tringa glareola,No Observations,0
Green Sandpiper,Tringa ochropus,"December 7, 2024","13,968"
Spotted Redshank,Tringa erythropus,"December 7, 2024","5,399"
Marsh Sandpiper,Tringa stagnatilis,No Observations,0
Common Redshank,Tringa totanus,"December 7, 2024","24,194"
Common Greenshank,Tringa nebularia,"December 7, 2024","19,537"
Asian Dowitcher,Limnodromus semipalmatus,"November 2, 2024",293
Spoon-billed Sandpiper,Calidris pygmaea,No Observations,0
Curlew Sandpiper,Calidris ferruginea,No Observations,0
Dunlin,Calidris alpina,No Observations,"32,634"
Red-necked Stint,Calidris ruficollis,"December 7, 2024","4,256"
Great Knot,Calidris tenuirostris,"December 7, 2024",0
Sanderling,Calidris alba,"December 6, 2024","55,415"
Long-toed Stint,Calidris subminuta,No Observations,"1,373"
Red Knot,Calidris canutus,"December 6, 2024",0
Little Stint,Calidris minuta,"December 6, 2024",0
Temminck's Stint,Calidris temminckii,"December 6, 2024","4,271"
Buff-breasted Sandpiper,Calidris subruficollis,"November 11, 2024",0
Broad-billed Sandpiper,Calidris falcinellus,No Observations,0
Ruff,Calidris pugnax,"December 2, 2024","18,533"
Yellow-legged Buttonquail,Turnix tanki,No Observations,0
Common Buttonquail,Turnix sylvaticus,"October 21, 2024",125
Barred Buttonquail,Turnix suscitator,"December 7, 2024",777
Red Junglefowl,Gallus gallus,"December 7, 2024",0
Grey Junglefowl,Gallus sonneratii,"December 5, 2024",473
Chukar,Alectoris chukar,No Observations,"4,744"
Tibetan Partridge,Perdix hodgsoniae,"October 26, 2024",48
Common Quail,Coturnix coturnix,No Observations,0
Rain Quail,Coturnix coromandelica,No Observations,0
Japanese Quail,Coturnix japonica,"December 1, 2024",0
Chestnut-breasted Partridge,Arborophila mandellii,"May 4, 2023",0
Hill Partridge,Arborophila torqueola,"November 9, 2024",57
White-cheeked Partridge,Arborophila atrogularis,No Observations,8
Rufous-throated Partridge,Arborophila rufogularis,"December 6, 2024",88
Painted Bush-Quail,Perdicula erythrorhyncha,No Observations,0
Manipur Bush-Quail,Perdicula manipurensis,No Observations,0
Jungle Bush-Quail,Perdicula asiatica,No Observations,0
Rock Bush-Quail,Perdicula argoondah,No Observations,63
Chinese Francolin,Francolinus pintadeanus,"November 2, 2024",69
Black Francolin,Francolinus francolinus,No Observations,381
Painted Francolin,Francolinus pictus,No Observations,69
Tibetan Snowcock,Tetraogallus tibetanus,No Observations,136
Himalayan Snowcock,Tetraogallus himalayensis,"December 4, 2024",96
Blue Quail,Synoicus adansonii,No Observations,0
Grey Francolin,Ortygornis pondicerianus,No Observations,0
Swamp Francolin,Ortygornis gularis,No Observations,0
Buff-throated Monal-Partridge,Tetraophasis szechenyii,No Observations,0
Himalayan Quail,Ophrysia superciliosa,No Observations,0
Koklass Pheasant,Pucrasia macrolopha,No Observations,0
Mountain Bamboo-Partridge,Bambusicola fytchii,"October 14, 2024",0
Green Peafowl,Pavo muticus,No Observations,381
Grey Peacock-Pheasant,Polyplectron bicalcaratum,"July 24, 2024",85
Sclater's Monal,Lophophorus sclateri,No Observations,0
Himalayan Monal,Lophophorus impejanus,No Observations,319
Elliot's Pheasant,Syrmaticus ellioti,"August 4, 2024",16
Mrs. Hume's Pheasant,Syrmaticus humiae,"March 23, 2024",64
Blood Pheasant,Ithaginis cruentus,No Observations,167
Painted Spurfowl,Galloperdix lunulata,No Observations,0
Red Spurfowl,Galloperdix spadicea,No Observations,230
Kalij Pheasant,Lophura leucomelanos,No Observations,0
Blyth's Tragopan,Tragopan blythii,No Observations,19
Satyr Tragopan,Tragopan satyra,"November 22, 2024",46
Western Tragopan,Tragopan melanocephalus,No Observations,1
Temminck's Tragopan,Tragopan temminckii,No Observations,45
Nicobar Megapode,Megapodius nicobariensis,"April 29, 2018",1
Malabar Pied Hornbill,Anthracoceros coronatus,"December 4, 2024",0
Oriental Pied Hornbill,Anthracoceros albirostris,"December 6, 2024","4,756"
Rusty-cheeked Hornbill,Anorrhinus tickelli,"October 26, 2024",48
Indian Grey Hornbill,Ocyceros birostris,"December 6, 2024","1,762"
Malabar Grey Hornbill,Ocyceros griseus,"November 29, 2024",736
Great Hornbill,Buceros bicornis,No Observations,0
Rufous-necked Hornbill,Aceros nipalensis,"November 11, 2024",0
Wreathed Hornbill,Rhyticeros undulatus,No Observations,0
Common Hoopoe,Upupa epops,"December 7, 2024",0
Masked Finfoot,Heliopais personatus,No Observations,13
Common Crane,Grus grus,"December 6, 2024","22,522"
Hooded Crane,Grus monacha,No Observations,384
Black-necked Crane,Grus nigricollis,"November 13, 2024",228
Sarus Crane,Antigone antigone,No Observations,0
Siberian Crane,Leucogeranus leucogeranus,No Observations,213
Demoiselle Crane,Anthropoides virgo,No Observations,"2,108"
Common Moorhen,Gallinula chloropus,No Observations,"67,579"
Slaty-breasted Rail,Lewinia striata,No Observations,0
Watercock,Gallicrex cinerea,"December 7, 2024",0
Black-tailed Crake,Zapornia bicolor,"November 15, 2024",0
Baillon's Crake,Zapornia pusilla,"December 4, 2024","1,145"
Little Crake,Zapornia parva,No Observations,661
Brown Crake,Zapornia akool,"December 5, 2024",217
Ruddy-breasted Crake,Zapornia fusca,"November 25, 2024",631
Eurasian Coot,Fulica atra,"December 7, 2024",0
Corn Crake,Crex crex,"November 24, 2024","2,018"
Red-legged Crake,Rallina fasciata,No Observations,251
Andaman Crake,Rallina canningi,No Observations,0
Slaty-legged Crake,Rallina eurizonoides,No Observations,192
White-breasted Waterhen,Amaurornis phoenicurus,"December 7, 2024","10,792"
Spotted Crake,Porzana porzana,"October 26, 2024",0
Asian Openbill,Anastomus oscitans,"December 7, 2024","5,945"
Black-necked Stork,Ephippiorhynchus asiaticus,"December 6, 2024","1,868"
Greater Adjutant,Leptoptilos dubius,No Observations,0
Lesser Adjutant,Leptoptilos javanicus,"December 3, 2024","1,481"
Painted Stork,Mycteria leucocephala,No Observations,"5,224"
Oriental Stork,Ciconia boyciana,"December 7, 2024",882
Asian Woolly-necked Stork,Ciconia episcopus,"December 3, 2024",0
Black Stork,Ciconia nigra,"December 4, 2024","6,749"
White Stork,Ciconia ciconia,"December 6, 2024","44,657"
Nicobar Pigeon,Caloenas nicobarica,No Observations,117
Wedge-tailed Green-Pigeon,Treron sphenurus,"November 27, 2024",246
Orange-breasted Green-Pigeon,Treron bicinctus,No Observations,0
Pin-tailed Green-Pigeon,Treron apicauda,No Observations,0
Thick-billed Green-Pigeon,Treron curvirostra,No Observations,0
Yellow-footed Green Pigeon,Treron phoenicopterus,No Observations,"1,393"
Pied Imperial Pigeon,Ducula bicolor,"November 30, 2024",803
Green Imperial Pigeon,Ducula aenea,"December 6, 2024","1,485"
Speckled Wood-Pigeon,Columba hodgsonii,"November 27, 2024",71
Andaman Wood-Pigeon,Columba palumboides,No Observations,0
Common Wood-Pigeon,Columba palumbus,"December 7, 2024","84,041"
Snow Pigeon,Columba leuconota,No Observations,0
Ashy Wood-Pigeon,Columba pulchricollis,"November 18, 2024",126
Nilgiri Wood-Pigeon,Columba elphinstonii,"October 1, 2024",0
Hill Pigeon,Columba rupestris,No Observations,752
Pale-capped Pigeon,Columba punicea,No Observations,0
Rock Pigeon,Columba livia,"December 7, 2024",0
Yellow-eyed Pigeon,Columba eversmanni,No Observations,74
Eurasian Collared-Dove,Streptopelia decaocto,"December 7, 2024","99,190"
European Turtle-Dove,Streptopelia turtur,No Observations,"5,664"
Red Collared-Dove,Streptopelia tranquebarica,"December 7, 2024",0
Oriental Turtle-Dove,Streptopelia orientalis,No Observations,0
Andaman Cuckoo-Dove,Macropygia rufipennis,"January 16, 2024",22
Barred Cuckoo-Dove,Macropygia unchall,No Observations,0
Laughing Dove,Spilopelia senegalensis,"December 7, 2024","17,419"
Spotted Dove,Spilopelia chinensis,No Observations,"33,156"
Brown-winged Kingfisher,Pelargopsis amauroptera,No Observations,173
Black-capped Kingfisher,Halcyon pileata,"December 2, 2024",830
Ruddy Kingfisher,Halcyon coromanda,No Observations,301
Pied Kingfisher,Ceryle rudis,"December 6, 2024","8,654"
Crested Kingfisher,Megaceryle lugubris,No Observations,395
Blyth's Kingfisher,Alcedo hercules,"April 10, 2024",15
Common Kingfisher,Alcedo atthis,No Observations,0
Blue-eared Kingfisher,Alcedo meninting,"December 6, 2024","1,132"
Dollarbird,Eurystomus orientalis,"December 7, 2024","4,493"
European Roller,Coracias garrulus,"December 7, 2024","6,103"
Blue-bearded Bee-Eater,Nyctyornis athertoni,"December 3, 2024",0
Blue-cheeked Bee-Eater,Merops persicus,No Observations,0
Asian Green Bee-Eater,Merops orientalis,"December 7, 2024","6,906"
Blue-tailed Bee-Eater,Merops philippinus,No Observations,0
Chestnut-headed Bee-Eater,Merops leschenaulti,"December 5, 2024",0
European Bee-Eater,Merops apiaster,"December 7, 2024","18,795"
Red-headed Trogon,Harpactes erythrocephalus,No Observations,0
Ward's Trogon,Harpactes wardi,No Observations,0
Malabar Trogon,Harpactes fasciatus,"December 3, 2024",503
Eastern Barn Owl,Tyto javanica,No Observations,"1,944"
Brown Fish-Owl,Ketupa zeylonensis,"November 21, 2024",794
Tawny Fish-Owl,Ketupa flavipes,No Observations,86
Buffy Fish-Owl,Ketupa ketupu,No Observations,0
Spot-bellied Eagle-Owl,Ketupa nipalensis,No Observations,0
Dusky Eagle-Owl,Ketupa coromanda,"November 28, 2024",0
Short-eared Owl,Asio flammeus,"December 6, 2024","10,536"
Long-eared Owl,Asio otus,"December 6, 2024","13,021"
Pallid Scops-Owl,Otus brucei,"November 22, 2024",87
Mountain Scops-Owl,Otus spilocephalus,"December 2, 2024",484
Andaman Scops-Owl,Otus balli,"October 18, 2024",11
Oriental Scops-Owl,Otus sunia,No Observations,0
Moluccan Scops-Owl,Otus magicus,No Observations,43
Collared Scops-Owl,Otus lettia,No Observations,0
Eurasian Eagle-Owl,Bubo bubo,"December 6, 2024","3,079"
Spotted Owlet,Athene brama,"December 5, 2024","3,658"
Little Owl,Athene noctua,No Observations,"10,281"
Mottled Wood-Owl,Strix ocellata,"November 14, 2024",308
Brown Wood-Owl,Strix leptogrammica,No Observations,0
Jungle Owlet,Glaucidium radiatum,No Observations,790
Asian Barred Owlet,Glaucidium cuculoides,"November 30, 2024","1,351"
Collared Owlet,Taenioptynx brodiei,No Observations,0
Vernal Hanging-Parrot,Loriculus vernalis,"November 22, 2024",705
Long-tailed Parakeet,Psittacula longicauda,"November 18, 2024",0
Malabar Parakeet,Psittacula columboides,"November 24, 2024",370
Rose-ringed Parakeet,Psittacula krameri,"December 7, 2024","22,764"
Gray-headed Parakeet,Psittacula finschii,"May 31, 2024",48
Nicobar Parakeet,Psittacula caniceps,"December 11, 2016",1
Blossom-headed Parakeet,Psittacula roseata,No Observations,0
Alexandrine Parakeet,Psittacula eupatria,"December 6, 2024","2,376"
Derbyan Parakeet,Psittacula derbiana,No Observations,28
Slaty-headed Parakeet,Psittacula himalayana,No Observations,0
Red-breasted Parakeet,Psittacula alexandri,"December 6, 2024","2,263"
Greater Yellownape,Chrysophlegma flavinucha,No Observations,0
Yellow-crowned Woodpecker,Leiopicus mahrattensis,"December 1, 2024",416
Crimson-breasted Woodpecker,Dryobates cathpharius,No Observations,0
Gray-capped Pygmy Woodpecker,Yungipicus canicapillus,No Observations,0
Rufous Woodpecker,Micropternus brachyurus,No Observations,767
Heart-spotted Woodpecker,Hemicircus canente,"October 26, 2024",252
Eurasian Wryneck,Jynx torquilla,No Observations,"6,422"
Bay Woodpecker,Blythipicus pyrrhotis,No Observations,0
Pale-headed Woodpecker,Gecinulus grantia,No Observations,0
White-naped Woodpecker,Chrysocolaptes festivus,No Observations,261
White-browed Piculet,Sasia ochracea,No Observations,0
Himalayan Flameback,Dinopium shorii,No Observations,0
Lesser Yellownape,Picus chlorolophus,No Observations,594
Scaly-bellied Woodpecker,Picus squamatus,No Observations,0
Grey-headed Woodpecker,Picus canus,"December 7, 2024","8,914"
Streak-throated Woodpecker,Picus xanthopygaeus,No Observations,0
Great Slaty Woodpecker,Mulleripicus pulverulentus,"November 2, 2024",192
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,"November 29, 2024",254
Fulvous-breasted Woodpecker,Dendrocopos macei,No Observations,0
Stripe-breasted Woodpecker,Dendrocopos atratus,No Observations,88
Sind Woodpecker,Dendrocopos assimilis,"March 31, 2024",0
